2015-06-17 17:27:18,770 [Thread-12:3624] [django.db.backends:91] [utils:execute] [DEBUG]- (0.183) SELECT `app01_bbs`.`id`, `app01_bbs`.`category_id`, `app01_bbs`.`title`, `app01_bbs`.`summary`, `app01_bbs`.`content`, `app01_bbs`.`author_id`, `app01_bbs`.`view_count`, `app01_bbs`.`ranking`, `app01_bbs`.`created_at`, `app01_bbs`.`updated_at` FROM `app01_bbs` WHERE `app01_bbs`.`id` = 2 LIMIT 21; args=(2,)
2015-06-17 17:27:18,918 [Thread-12:3624] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'knb7zgqfk5rlneb6h3yymifezc4qnhhe' AND `django_session`.`expire_date` > '2015-06-17 09:27:18') LIMIT 21; args=('knb7zgqfk5rlneb6h3yymifezc4qnhhe', u'2015-06-17 09:27:18')
2015-06-17 17:27:18,928 [Thread-12:3624] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 LIMIT 21; args=(1,)
2015-06-17 17:27:19,032 [Thread-12:3624] [django.db.backends:91] [utils:execute] [DEBUG]- (0.094) SELECT `django_content_type`.`id`, `django_content_type`.`name`, `django_content_type`.`app_label`, `django_content_type`.`model` FROM `django_content_type` WHERE (`django_content_type`.`model` = 'bbs' AND `django_content_type`.`app_label` = 'app01') LIMIT 21; args=('bbs', 'app01')
2015-06-17 17:27:19,457 [Thread-12:3624] [django.db.backends:91] [utils:execute] [DEBUG]- (0.422) SELECT COUNT(*) FROM `django_comments` WHERE (`django_comments`.`site_id` = 1 AND `django_comments`.`object_pk` = '2' AND `django_comments`.`content_type_id` = 7 AND `django_comments`.`is_public` = 1 AND `django_comments`.`is_removed` = 0); args=(1, u'2', 7, True, False)
2015-06-17 17:27:19,503 [Thread-12:3624] [django.db.backends:91] [utils:execute] [DEBUG]- (0.028) SELECT `django_comments`.`id`, `django_comments`.`content_type_id`, `django_comments`.`object_pk`, `django_comments`.`site_id`, `django_comments`.`user_id`, `django_comments`.`user_name`, `django_comments`.`user_email`, `django_comments`.`user_url`, `django_comments`.`comment`, `django_comments`.`submit_date`, `django_comments`.`ip_address`, `django_comments`.`is_public`, `django_comments`.`is_removed` FROM `django_comments` WHERE (`django_comments`.`site_id` = 1 AND `django_comments`.`object_pk` = '2' AND `django_comments`.`content_type_id` = 7 AND `django_comments`.`is_public` = 1 AND `django_comments`.`is_removed` = 0) ORDER BY `django_comments`.`submit_date` ASC; args=(1, u'2', 7, True, False)
2015-06-17 17:27:41,704 [Thread-50:780] [django.db.backends:91] [utils:execute] [DEBUG]- (0.017) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:27:41,769 [Thread-50:780] [django.db.backends:91] [utils:execute] [DEBUG]- (0.062) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`username` = '' LIMIT 21; args=(u'',)
2015-06-17 17:27:56,063 [Thread-76:6412] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2015-06-17 17:27:56,065 [Thread-76:6412] [django.db.backends:91] [utils:execute] [DEBUG]- (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'knb7zgqfk5rlneb6h3yymifezc4qnhhe' AND `django_session`.`expire_date` > '2015-06-17 09:27:56') LIMIT 21; args=('knb7zgqfk5rlneb6h3yymifezc4qnhhe', u'2015-06-17 09:27:56')
